,Date,Close,High,Low,Open,Volume
2701,2021-03-23,220.72000122070312,225.93333435058597,219.1699981689453,225.2566680908203,91475700
2702,2021-03-24,210.08999633789065,222.67333984375,210.0366668701172,222.6366729736328,101385600
2703,2021-03-25,213.4633331298828,215.1666717529297,203.1666717529297,204.3333282470703,117674700
2704,2021-03-26,206.23666381835935,214.60667419433597,199.9633331298828,213.9566650390625,101558400
2705,2021-03-29,203.76333618164065,205.4933319091797,198.67333984375,205.2133331298828,85911000
2706,2021-03-30,211.8733367919922,212.55332946777344,197.0033264160156,200.5833282470703,118297200
2707,2021-03-31,222.6433258056641,224.0,213.70333862304688,215.5399932861328,100011900
2708,2021-04-01,220.5833282470703,230.80667114257807,219.80667114257807,229.4566650390625,105895200
2709,2021-04-05,230.3500061035156,236.05332946777344,228.23333740234372,235.90333557128903,125528400
2710,2021-04-06,230.5399932861328,232.18333435058597,227.1233367919922,230.1000061035156,84815400
2711,2021-04-07,223.6566619873047,230.4600067138672,222.6133270263672,229.0,78928200
2712,2021-04-08,227.93333435058597,229.8500061035156,223.88333129882807,225.7933349609375,71772900
2713,2021-04-09,225.67333984375,226.9900054931641,223.1433258056641,225.92333984375,64311300
2714,2021-04-12,233.9933319091797,234.93333435058597,227.3633270263672,228.5666656494141,87407100
2715,2021-04-13,254.10667419433597,254.3333282470703,236.8866729736328,237.5666656494141,133958400
2716,2021-04-14,244.07666015625,260.2633361816406,242.6766662597656,256.8999938964844,147052200
2717,2021-04-15,246.2833404541016,247.89666748046875,240.4366607666016,247.6999969482422,83546700
2718,2021-04-16,246.5933380126953,249.80332946777344,241.5333404541016,242.88333129882807,83938500
2719,2021-04-19,238.2100067138672,241.8000030517578,230.6000061035156,239.86666870117188,119058600
2720,2021-04-20,239.663330078125,245.75,236.89666748046875,239.13999938964844,106827000
2721,2021-04-21,248.0399932861328,248.27999877929688,232.6666717529297,234.92333984375,93646500
2722,2021-04-22,239.89666748046875,251.2566680908203,239.3466644287109,247.1666717529297,106770900
2723,2021-04-23,243.13333129882807,245.7866668701172,238.48666381835935,239.93333435058597,85110000
2724,2021-04-26,246.0666656494141,249.76666259765625,244.20333862304688,247.0,93115500
2725,2021-04-27,234.913330078125,241.3333282470703,234.4499969482422,239.32000732421875,88311000
2726,2021-04-28,231.46665954589844,236.1666717529297,231.1999969482422,232.1366729736328,66813000
2727,2021-04-29,225.6666717529297,234.0833282470703,222.8333282470703,233.1699981689453,86536200
2728,2021-04-30,236.47999572753903,238.4900054931641,222.04666137695312,222.52999877929688,122276100
2729,2021-05-03,228.3000030517578,235.3333282470703,226.8333282470703,234.6000061035156,81129300
